// Created:   16:19:07 05-10-21,,,,
,,,,
,,## 05-10-21_04PM_IDCABOT_P2.csv ##,,
,,CCC Pos #2,,
,,,,
,COOLER_DRV,IDCABOT,ERROR,
──────────────────────────────────────────────────────────────────────────────,,,,
, RMS_VAC,RMS_VAC,ERROR (V),ERROR (mV)
16:22:57,5.2638,5.2626,0.0012,1.19999999999987
16:23:00,5.2637,5.2626,0.0011,1.1000000000001
16:23:02,5.2648,5.2637,0.0011,1.1000000000001
16:23:04,5.264,5.2629,0.0011,1.1000000000001
16:23:07,5.2654,5.2646,0.0008,0.799999999999912
16:23:09,5.2666,5.2654,0.001200000000001,1.20000000000076
16:23:11,5.2675,5.2665,0.001,1.00000000000033
16:23:13,5.2696,5.2686,0.000999999999999,0.999999999999446
16:23:16,5.2707,5.2695,0.0012,1.19999999999987
16:23:18,5.27,5.269,0.000999999999999,0.999999999999446
16:23:20,5.27,5.2691,0.0009,0.899999999999679
16:23:23,5.2706,5.2695,0.0011,1.1000000000001
16:23:25,5.2729,5.2718,0.0011,1.1000000000001
16:23:27,5.2739,5.2734,0.000500000000001,0.500000000000611
16:23:29,5.2745,5.2733,0.0012,1.19999999999987
16:23:32,5.2752,5.2744,0.0008,0.799999999999912
16:23:34,5.2752,5.2743,0.0009,0.899999999999679
16:23:36,5.2764,5.2753,0.0011,1.1000000000001
16:23:39,5.2761,5.2753,0.0008,0.799999999999912
16:23:41,5.2767,5.2757,0.001,1.00000000000033
16:23:43,5.2765,5.2754,0.0011,1.1000000000001
16:23:45,5.2768,5.276,0.0008,0.799999999999912
16:23:48,5.2779,5.2769,0.000999999999999,0.999999999999446
16:23:50,5.277,5.276,0.001,1.00000000000033
16:23:52,5.2789,5.278,0.0009,0.899999999999679
16:23:55,5.2797,5.279,0.0007,0.700000000000145
16:23:57,5.2813,5.2807,0.000599999999999,0.59999999999949
16:23:59,5.282,5.2813,0.0007,0.700000000000145
16:24:02,5.283,5.2822,0.000800000000001,0.8000000000008
16:24:04,5.2835,5.2828,0.0007,0.700000000000145
16:24:06,5.2837,5.2831,0.000599999999999,0.59999999999949
16:24:08,5.2842,5.2834,0.0008,0.799999999999912
16:24:11,5.2814,5.2798,0.0016,1.59999999999982
16:24:13,5.2818,5.2817,9.99999999997669E-05,0.099999999999767
16:24:15,5.2835,5.283,0.0005,0.499999999999723
16:24:18,5.2822,5.2814,0.0008,0.799999999999912
16:24:20,5.2817,5.281,0.0007,0.700000000000145
16:24:22,5.2824,5.2819,0.0005,0.499999999999723
16:24:25,5.2833,5.2826,0.000699999999999,0.699999999999257
16:24:31,0.8317,0.8316,9.9999999999989E-05,0.099999999999989
16:24:34,0.8318,0.8318,0,0
