// Created:   10:44:28 05-20-21,,,,
,,,,
,,,,
,## 05-20-21_10AM_IDCABOT_P3.csv ##,,,
,CCC Pos #3,,,
,,,,
,,,,
,COOLER_DRV,IDCABOT,ERROR,
, RMS_VAC,RMS_VAC,VOLTS,
10:50:05,5.3945,5.3936,0.0009,
10:50:07,5.3936,5.3931,0.0005,
10:50:10,5.3934,5.3925,0.0009,
10:50:12,5.3938,5.3932,0.0006,
10:50:14,5.3952,5.3948,0.0004,
10:50:17,5.3968,5.3964,0.0004,
10:50:19,5.3991,5.3986,0.0005,
10:50:21,5.3998,5.3992,0.0006,
10:50:24,5.3997,5.3989,0.0008,
10:50:26,5.3994,5.3989,0.0005,
10:50:28,5.402,5.4012,0.0008,
10:50:31,5.4031,5.4025,0.0006,
10:50:33,5.4037,5.403,0.0007,
10:50:35,5.4021,5.4015,0.0006,
10:50:37,5.4025,5.4017,0.0008,
,,,,
,,Average,0.0012,1.2mV
,,Min,0.0001,0.1 mV
,,Max,0.0030,3 mV
