// Created:   12:33:44 05-20-21,,,
,,,
,,,
,,## 05-20-21_12PM_IDCABOT_P3.csv ##,
,,CCC Pos #3,
,,,
,,,
,COOLER_DRV,IDCABOT,TRANSFER FUNC
, RMS_AAC,RMS_VAC,VOLTS/AMP
12:33:44,0.7092,3.4329,4.8405
12:33:47,0.7113,3.4408,4.8373
12:33:50,0.708,3.4251,4.8377
12:33:53,0.7098,3.4403,4.8469
12:33:56,0.7107,3.4351,4.8334
12:33:59,0.7115,3.447,4.8447
12:34:02,0.7137,3.4534,4.8387
12:34:06,0.7132,3.4494,4.8365
12:34:09,0.7352,3.5569,4.8380
12:34:12,0.7378,3.5758,4.8466
12:34:15,0.7336,3.5529,4.8431
12:34:18,0.7342,3.5575,4.8454
12:34:21,0.735,3.5556,4.8376
12:34:24,0.736,3.5651,4.8439
12:34:28,0.7394,3.5807,4.8427
12:34:31,0.7418,3.5816,4.8283
12:34:34,0.7401,3.5871,4.8468
12:34:37,0.743,3.5939,4.8370
12:34:40,0.7424,3.5957,4.8433
12:34:43,0.7476,3.6247,4.8484
12:34:46,0.7519,3.6397,4.8407
12:34:49,0.7511,3.6385,4.8442
12:34:52,0.756,3.669,4.8532
12:34:56,0.7564,3.6618,4.8411
12:34:59,0.7588,3.6744,4.8424
12:35:02,0.764,3.7016,4.8450
12:35:05,0.7655,3.7027,4.8370
12:35:09,0.7624,3.6879,4.8372
12:35:13,0.766,3.7019,4.8328
12:35:16,0.7667,3.7163,4.8471
12:35:19,0.7734,3.7417,4.8380
12:35:22,0.7735,3.737,4.8313
12:35:26,0.7646,3.7042,4.8446
12:35:29,0.77,3.7271,4.8404
12:35:32,0.7794,3.7651,4.8308
12:35:35,0.7852,3.7933,4.8310
12:35:38,0.7857,3.8011,4.8379
12:35:41,0.782,3.7851,4.8403
12:35:45,0.7793,3.7775,4.8473
12:35:48,0.7841,3.7796,4.8203
12:35:51,0.7667,3.7084,4.8368
12:35:54,0.7693,3.7279,4.8458
12:35:57,0.7686,3.7208,4.8410
12:36:00,0.7661,3.7053,4.8366
12:36:03,0.7693,3.7215,4.8375
12:36:07,0.7713,3.7375,4.8457
12:36:10,0.7769,3.7496,4.8264
12:36:13,0.7721,3.7295,4.8303
12:36:16,0.7745,3.7506,4.8426
12:36:19,0.7791,3.7702,4.8392
12:36:22,0.7817,3.7777,4.8327
12:36:25,0.7803,3.7772,4.8407
12:36:28,0.7881,3.8168,4.8430
12:36:31,0.7853,3.7979,4.8362
12:36:35,0.7868,3.8231,4.8590
12:36:38,0.7898,3.8273,4.8459
12:36:41,0.785,3.794,4.8331
12:36:44,0.7818,3.7906,4.8486
12:36:47,0.7851,3.811,4.8542
12:36:50,0.7829,3.7875,4.8378
12:36:53,0.7856,3.7955,4.8313
12:36:57,0.8047,3.8818,4.8239
12:37:00,0.7937,3.8566,4.8590
12:37:03,0.7916,3.8248,4.8317
12:37:06,0.7896,3.8221,4.8406
12:37:09,0.7961,3.8497,4.8357
12:37:12,0.8006,3.8774,4.8431
12:37:15,0.8029,3.882,4.8350
12:37:18,0.8031,3.8875,4.8406
12:37:21,0.8048,3.88,4.8211
12:37:25,0.8069,3.9064,4.8412
12:37:28,0.8213,3.9694,4.8331
12:37:31,0.8141,3.9378,4.8370
12:37:34,0.8155,3.9468,4.8397
12:37:37,0.8128,3.9271,4.8316
12:37:40,0.812,3.9262,4.8352
12:37:43,0.8132,3.9289,4.8314
12:37:46,0.814,3.9387,4.8387
12:37:50,0.8119,3.9221,4.8308
12:37:53,0.813,3.9264,4.8295
12:37:56,0.8138,3.9411,4.8428
12:37:59,0.8097,3.9136,4.8334
12:38:02,0.816,3.9478,4.8380
12:38:05,0.8143,3.9652,4.8695
12:38:08,0.8184,3.9543,4.8317
12:38:11,0.8122,3.9184,4.8244
12:38:15,0.8132,3.9323,4.8356
12:38:18,0.8184,3.9361,4.8095
12:38:21,0.8137,3.9338,4.8345
12:38:24,0.8242,3.9713,4.8184
12:38:27,0.8151,3.9767,4.8788
12:38:30,0.8158,3.9487,4.8403
12:38:33,0.8173,4.0018,4.8964
12:38:36,0.8241,3.9774,4.8264
12:38:39,0.8212,3.9708,4.8354
12:38:43,0.8195,3.9761,4.8519
12:38:46,0.8301,3.9961,4.8140
12:38:49,0.8188,3.9693,4.8477
12:38:52,0.8238,3.9855,4.8379
12:38:55,0.82,3.9748,4.8473
12:38:58,0.825,3.9784,4.8223
12:39:01,0.8232,3.9787,4.8332
12:39:04,0.821,3.9747,4.8413
,,,
,,Average,4.8392
,,StdDev,0.0114
