// Created:   14:13:03 05-20-21,,,
,,,
,,,
,,,
,## 05-20-21_02PM_IDCABOT_P1.csv ##,,
,CCC Pos #1,,
,,,
,COOLER_DRV,IDCABOT,TRANSFER FUNC
, RMS_AAC,RMS_VAC,VOLTS/AMP
14:13:24,0.736,3.5692,4.8495
14:13:28,0.7377,3.572,4.8421
14:13:31,0.7376,3.5742,4.8457
14:13:34,0.7344,3.5571,4.8435
14:13:37,0.7354,3.557,4.8368
14:13:43,0.7579,3.6692,4.8413
14:13:46,0.7569,3.6627,4.8391
14:13:49,0.7585,3.6681,4.8360
14:13:53,0.7564,3.6671,4.8481
14:13:56,0.7574,3.675,4.8521
14:13:59,0.7592,3.6818,4.8496
14:14:02,0.761,3.6905,4.8495
14:14:05,0.7591,3.6771,4.8440
14:14:08,0.7588,3.6774,4.8463
14:14:11,0.7593,3.6813,4.8483
14:14:14,0.7664,3.7146,4.8468
14:14:18,0.766,3.7085,4.8414
14:14:21,0.7677,3.7263,4.8538
14:14:24,0.7681,3.7208,4.8442
14:14:27,0.7679,3.7262,4.8525
14:14:30,0.7712,3.7408,4.8506
14:14:33,0.7723,3.7462,4.8507
14:14:36,0.772,3.7392,4.8435
14:14:39,0.7756,3.7499,4.8348
14:14:43,0.7722,3.7341,4.8357
14:14:46,0.778,3.7665,4.8413
14:14:49,0.7728,3.7472,4.8489
14:14:52,0.7713,3.7348,4.8422
14:14:55,0.7751,3.7527,4.8416
14:14:58,0.7751,3.7526,4.8414
14:15:01,0.7749,3.7508,4.8404
14:15:04,0.7743,3.7538,4.8480
14:15:08,0.7796,3.7781,4.8462
14:15:11,0.7832,3.7806,4.8271
14:15:14,0.7859,3.7939,4.8275
14:15:17,0.7793,3.7798,4.8503
14:15:20,0.7809,3.7878,4.8506
14:15:23,0.7819,3.7926,4.8505
14:15:26,0.7917,3.8357,4.8449
14:15:29,0.7903,3.8407,4.8598
14:15:33,0.7941,3.8463,4.8436
14:15:36,0.7914,3.8358,4.8469
14:15:39,0.7916,3.8279,4.8356
14:15:42,0.7945,3.8393,4.8323
14:15:45,0.7946,3.848,4.8427
14:15:48,0.7925,3.8367,4.8413
14:15:51,0.7932,3.8394,4.8404
14:15:54,0.7885,3.8108,4.8330
14:15:58,0.791,3.8305,4.8426
14:16:01,0.7914,3.8285,4.8376
14:16:04,0.7946,3.8491,4.8441
14:16:07,0.7949,3.8484,4.8414
14:16:10,0.7965,3.8518,4.8359
14:16:13,0.7951,3.8525,4.8453
14:16:16,0.7944,3.843,4.8376
14:16:19,0.7983,3.8567,4.8311
14:16:23,0.803,3.8846,4.8376
14:16:26,0.7986,3.8682,4.8437
14:16:29,0.7988,3.8741,4.8499
14:16:32,0.7975,3.8628,4.8436
14:16:35,0.8208,3.9677,4.8339
14:16:44,0.8069,3.8943,4.8262
14:16:48,0.8015,3.8822,4.8437
14:16:51,0.8091,3.9154,4.8392
14:16:54,0.8079,3.8902,4.8152
14:16:57,0.8038,3.8949,4.8456
14:17:00,0.8106,3.9156,4.8305
14:17:03,0.8085,3.9246,4.8542
14:17:06,0.8097,3.9214,4.8430
14:17:09,0.8088,3.9171,4.8431
14:17:13,0.8123,3.9404,4.8509
14:17:16,0.8119,3.9449,4.8588
14:17:19,0.8235,3.9794,4.8323
14:17:22,0.8249,3.9917,4.8390
14:17:25,0.8267,4.0067,4.8466
14:17:28,0.825,3.9961,4.8438
14:17:31,0.8244,3.9923,4.8427
14:17:34,0.8223,3.9776,4.8372
14:17:37,0.8234,3.9862,4.8411
14:17:41,0.8245,3.9868,4.8354
14:17:44,0.8242,4.0001,4.8533
14:17:47,0.8226,3.9873,4.8472
14:17:50,0.8229,3.9858,4.8436
14:17:53,0.8235,3.997,4.8537
14:17:56,0.8236,3.9767,4.8284
14:17:59,0.8308,4.03,4.8507
14:18:03,0.8311,4.001,4.8141
14:18:06,0.8269,4.015,4.8555
14:18:09,0.8323,4.0226,4.8331
14:18:12,0.8265,4.0148,4.8576
14:18:15,0.8293,4.0205,4.8481
14:18:18,0.8225,3.9908,4.8520
14:18:21,0.8263,3.9964,4.8365
,,,
,,Average,4.8427
,,StdDev,0.0084
